geoid,lon,lat
08023,-105.428221,37.278097
08025,-103.784471,38.326585
08027,-105.367528,38.108691
08029,-107.862889,38.861359
08031,-104.875924,39.762106
08033,-108.517385,37.751666
08035,-104.929559,39.329708
08037,-106.695367,39.627849
08039,-104.135942,39.286556
08041,-104.525472,38.832107
08043,-105.439660,38.472960
08045,-107.904081,39.599324
08047,-105.522516,39.857560
08049,-106.118323,40.102630
08051,-107.031623,38.666768
08053,-107.300302,37.821285
08055,-104.960619,37.684676
08057,-106.342794,40.666442
08059,-105.250473,39.586434
08061,-102.740254,38.432678
08063,-102.602948,39.305482
08065,-106.344778,39.202497
08067,-107.843329,37.286554
08069,-105.461147,40.666387
08071,-104.038740,37.315794
08073,-103.513951,38.988091
08075,-103.110130,40.724670
08077,-108.466444,39.018299
08079,-106.924122,37.668942
08081,-108.207435,40.618391
08083,-108.596577,37.338562
08085,-108.269338,38.402183
08087,-103.809757,40.262655
08089,-103.716452,37.902592
08091,-107.769265,38.155468
08093,-105.717109,39.119316
08095,-102.357602,40.593973
08097,-106.916593,39.217090
08099,-102.393360,37.955195
08101,-104.512708,38.173514
08103,-108.217053,39.979876
08105,-106.383239,37.582529
08107,-106.991252,40.485139
08109,-106.281509,38.080529
08111,-107.676156,37.764028
08113,-108.405758,38.003738
08115,-102.351824,40.875916
08117,-106.116377,39.634192
08119,-105.161777,38.882159
08121,-103.201249,39.970998
08123,-104.392465,40.554843
08125,-102.424249,40.002936
09001,-73.389259,41.270693
09003,-72.732859,41.806404
09005,-73.245322,41.792478
09007,-72.535144,41.463186
09009,-72.932000,41.410300
09011,-72.101453,41.486606
09013,-72.336498,41.855015
09015,-71.987454,41.830019
10001,-75.568420,39.086165
10003,-75.647994,39.581403
10005,-75.390038,38.660552
12001,-82.357723,29.674753
12003,-82.284619,30.331106
12005,-85.620250,30.265211
12007,-82.168742,29.949966
12009,-80.732269,28.293720
12011,-80.487129,26.152319
12013,-85.197194,30.406028
12015,-81.912257,26.905498
12017,-82.479596,28.849002
12019,-81.857859,29.983059
12021,-81.347591,26.110701
12023,-82.621535,30.224247
